PC: 0x0000000080000448, INSTR: 0x00168693, REG x13: 0x0000000000000002
PC: 0x000000008000044c, INSTR: 0xff46cae3
PC: 0x0000000080000440, INSTR: 0xc4decf13, REG x30: 0x920a3c31a8d63503
PC: 0x0000000080000444, INSTR: 0x26afa513, REG x10: 0x0000000000000001
PC: 0x0000000080000448, INSTR: 0x00168693, REG x13: 0x0000000000000003
PC: 0x000000008000044c, INSTR: 0xff46cae3
PC: 0x0000000080000440, INSTR: 0xc4decf13, REG x30: 0x920a3c31a8d63503
PC: 0x0000000080000444, INSTR: 0x26afa513, REG x10: 0x0000000000000001
PC: 0x0000000080000448, INSTR: 0x00168693, REG x13: 0x0000000000000004
PC: 0x000000008000044c, INSTR: 0xff46cae3
PC: 0x0000000080000450, INSTR: 0x0040006f
PC: 0x0000000080000454, INSTR: 0xa6a36b13, REG x22: 0xfffffffffffffb7f
PC: 0x0000000080000458, INSTR: 0x013111b3, REG x3: 0x0000000000000000
PC: 0x000000008000045c, INSTR: 0x00000d13, REG x26: 0x0000000000000000
PC: 0x0000000080000460, INSTR: 0x00400993, REG x19: 0x0000000000000004
PC: 0x0000000080000464, INSTR: 0x0040006f
PC: 0x0000000080000468, INSTR: 0x001d0d13, REG x26: 0x0000000000000001
PC: 0x000000008000046c, INSTR: 0xff3d4ee3
PC: 0x0000000080000468, INSTR: 0x001d0d13, REG x26: 0x0000000000000002
PC: 0x000000008000046c, INSTR: 0xff3d4ee3
PC: 0x0000000080000468, INSTR: 0x001d0d13, REG x26: 0x0000000000000003
PC: 0x000000008000046c, INSTR: 0xff3d4ee3
PC: 0x0000000080000468, INSTR: 0x001d0d13, REG x26: 0x0000000000000004
PC: 0x000000008000046c, INSTR: 0xff3d4ee3
PC: 0x0000000080000470, INSTR: 0x0040006f
PC: 0x0000000080000474, INSTR: 0x00000e93, REG x29: 0x0000000000000000
PC: 0x0000000080000478, INSTR: 0x00400b13, REG x22: 0x0000000000000004
PC: 0x000000008000047c, INSTR: 0x0040006f
PC: 0x0000000080000480, INSTR: 0x100096b7, REG x13: 0x0000000010009000
PC: 0x0000000080000484, INSTR: 0x00369693, REG x13: 0x0000000080048000
PC: 0x0000000080000488, INSTR: 0xa3268693, REG x13: 0x0000000080047a32
PC: 0x000000008000048c, INSTR: 0x8486df03, REG x30: 0x0000000000000000, MEM 0x000000008004727a
PC: 0x0000000080000490, INSTR: 0x001e8e93, REG x29: 0x0000000000000001
PC: 0x0000000080000494, INSTR: 0xff6ec6e3
PC: 0x0000000080000480, INSTR: 0x100096b7, REG x13: 0x0000000010009000
PC: 0x0000000080000484, INSTR: 0x00369693, REG x13: 0x0000000080048000
PC: 0x0000000080000488, INSTR: 0xa3268693, REG x13: 0x0000000080047a32
PC: 0x000000008000048c, INSTR: 0x8486df03, REG x30: 0x0000000000000000, MEM 0x000000008004727a
PC: 0x0000000080000490, INSTR: 0x001e8e93, REG x29: 0x0000000000000002
PC: 0x0000000080000494, INSTR: 0xff6ec6e3
