PC: 0x00000000800004c8, INSTR: 0xfffb0b13, REG x22: 0x0000000000000001
PC: 0x00000000800004cc, INSTR: 0x00a59463
PC: 0x00000000800004d4, INSTR: 0x01f11c3b, REG x24: 0xfffffffff8000000
PC: 0x00000000800004d8, INSTR: 0x40026c37, REG x24: 0x0000000040026000
PC: 0x00000000800004dc, INSTR: 0x6d1c0c1b, REG x24: 0x00000000400266d1
PC: 0x00000000800004e0, INSTR: 0x001c1c13, REG x24: 0x000000008004cda2
PC: 0x00000000800004e4, INSTR: 0xe5ac6183, REG x3: 0x0000000000000000, MEM 0x000000008004cbfc
PC: 0x00000000800004e8, INSTR: 0xfdeb1ce3
PC: 0x00000000800004c0, INSTR: 0x004734b3, REG x9: 0x0000000000000001
PC: 0x00000000800004c4, INSTR: 0x00297cb3, REG x25: 0x000000008000cf00
