PC: 0x0000000080000350, INSTR: 0x882c0c13, REG x24: 0xae49c4bcb2e19882
PC: 0x0000000080000354, INSTR: 0x01991cb7, REG x25: 0x0000000001991000
PC: 0x0000000080000358, INSTR: 0x975c8c9b, REG x25: 0x0000000001990975
PC: 0x000000008000035c, INSTR: 0x00cc9c93, REG x25: 0x0000001990975000
PC: 0x0000000080000360, INSTR: 0xf81c8c93, REG x25: 0x0000001990974f81
PC: 0x0000000080000364, INSTR: 0x00cc9c93, REG x25: 0x0001990974f81000
PC: 0x0000000080000368, INSTR: 0x94dc8c93, REG x25: 0x0001990974f8094d
PC: 0x000000008000036c, INSTR: 0x00dc9c93, REG x25: 0x33212e9f0129a000
PC: 0x0000000080000370, INSTR: 0x5ddc8c93, REG x25: 0x33212e9f0129a5dd
PC: 0x0000000080000374, INSTR: 0x00147d37, REG x26: 0x0000000000147000
PC: 0x0000000080000378, INSTR: 0xbf3d0d1b, REG x26: 0x0000000000146bf3
PC: 0x000000008000037c, INSTR: 0x00cd1d13, REG x26: 0x0000000146bf3000
PC: 0x0000000080000380, INSTR: 0x98bd0d13, REG x26: 0x0000000146bf298b
PC: 0x0000000080000384, INSTR: 0x00cd1d13, REG x26: 0x0000146bf298b000
PC: 0x0000000080000388, INSTR: 0x915d0d13, REG x26: 0x0000146bf298a915
PC: 0x000000008000038c, INSTR: 0x00fd1d13, REG x26: 0x0a35f94c548a8000
PC: 0x0000000080000390, INSTR: 0xf51d0d13, REG x26: 0x0a35f94c548a7f51
PC: 0x0000000080000394, INSTR: 0xffc21db7, REG x27: 0xffffffffffc21000
PC: 0x0000000080000398, INSTR: 0xb1dd8d9b, REG x27: 0xffffffffffc20b1d
PC: 0x000000008000039c, INSTR: 0x00dd9d93, REG x27: 0xfffffff84163a000
PC: 0x00000000800003a0, INSTR: 0xc99d8d93, REG x27: 0xfffffff841639c99
PC: 0x00000000800003a4, INSTR: 0x00dd9d93, REG x27: 0xffff082c73932000
PC: 0x00000000800003a8, INSTR: 0xa35d8d93, REG x27: 0xffff082c73931a35
PC: 0x00000000800003ac, INSTR: 0x00fd9d93, REG x27: 0x841639c98d1a8000
PC: 0x00000000800003b0, INSTR: 0x987d8d93, REG x27: 0x841639c98d1a7987
PC: 0x00000000800003b4, INSTR: 0x033c0e37, REG x28: 0x00000000033c0000
PC: 0x00000000800003b8, INSTR: 0x5d3e0e1b, REG x28: 0x00000000033c05d3
PC: 0x00000000800003bc, INSTR: 0x00de1e13, REG x28: 0x0000006780ba6000
PC: 0x00000000800003c0, INSTR: 0x7e3e0e13, REG x28: 0x0000006780ba67e3
PC: 0x00000000800003c4, INSTR: 0x00ce1e13, REG x28: 0x0006780ba67e3000
PC: 0x00000000800003c8, INSTR: 0xe71e0e13, REG x28: 0x0006780ba67e2e71
