PC: 0x000000008000027c, INSTR: 0xb5188893, REG x17: 0xfffefd42116a3b51
PC: 0x0000000080000280, INSTR: 0x00c89893, REG x17: 0xefd42116a3b51000
PC: 0x0000000080000284, INSTR: 0xcc888893, REG x17: 0xefd42116a3b50cc8
PC: 0x0000000080000288, INSTR: 0x003b6937, REG x18: 0x00000000003b6000
PC: 0x000000008000028c, INSTR: 0x9779091b, REG x18: 0x00000000003b5977
PC: 0x0000000080000290, INSTR: 0x00e91913, REG x18: 0x0000000ed65dc000
PC: 0x0000000080000294, INSTR: 0x63590913, REG x18: 0x0000000ed65dc635
PC: 0x0000000080000298, INSTR: 0x00c91913, REG x18: 0x0000ed65dc635000
PC: 0x000000008000029c, INSTR: 0xebb90913, REG x18: 0x0000ed65dc634ebb
PC: 0x00000000800002a0, INSTR: 0x00e91913, REG x18: 0x3b597718d3aec000
PC: 0x00000000800002a4, INSTR: 0xdaf90913, REG x18: 0x3b597718d3aebdaf
PC: 0x00000000800002a8, INSTR: 0x178c79b7, REG x19: 0x00000000178c7000
PC: 0x00000000800002ac, INSTR: 0xd219899b, REG x19: 0x00000000178c6d21
PC: 0x00000000800002b0, INSTR: 0x00c99993, REG x19: 0x00000178c6d21000
PC: 0x00000000800002b4, INSTR: 0xf9b98993, REG x19: 0x00000178c6d20f9b
PC: 0x00000000800002b8, INSTR: 0x00e99993, REG x19: 0x005e31b483e6c000
PC: 0x00000000800002bc, INSTR: 0x57998993, REG x19: 0x005e31b483e6c579
PC: 0x00000000800002c0, INSTR: 0x00599993, REG x19: 0x0bc636907cd8af20
PC: 0x00000000800002c4, INSTR: 0xfef87a37, REG x20: 0xfffffffffef87000
PC: 0x00000000800002c8, INSTR: 0x733a0a1b, REG x20: 0xfffffffffef87733
PC: 0x00000000800002cc, INSTR: 0x00ca1a13, REG x20: 0xffffffef87733000
PC: 0x00000000800002d0, INSTR: 0xbf5a0a13, REG x20: 0xffffffef87732bf5
