PC: 0x0000000080000448, INSTR: 0x3d480813, REG x16: 0x00000000800423d4
PC: 0x000000008000044c, INSTR: 0x8b884e03, REG x28: 0x0000000000000000, MEM 0x0000000080041c8c
PC: 0x0000000080000450, INSTR: 0x2000b9b7, REG x19: 0x000000002000b000
PC: 0x0000000080000454, INSTR: 0xdbd9899b, REG x19: 0x000000002000adbd
PC: 0x0000000080000458, INSTR: 0x00299993, REG x19: 0x000000008002b6f4
PC: 0x000000008000045c, INSTR: 0x9069c203, REG x4: 0x0000000000000000, MEM 0x000000008002affa
PC: 0x0000000080000460, INSTR: 0x001161b3, REG x3: 0xc2e875948cfcff84
PC: 0x0000000080000464, INSTR: 0x00080b37, REG x22: 0x0000000000080000
PC: 0x0000000080000468, INSTR: 0x041b0b1b, REG x22: 0x0000000000080041
PC: 0x000000008000046c, INSTR: 0x00cb1b13, REG x22: 0x0000000080041000
PC: 0x0000000080000470, INSTR: 0x89db0b13, REG x22: 0x000000008004089d
PC: 0x0000000080000474, INSTR: 0xfe2b4503, REG x10: 0x0000000000000000, MEM 0x000000008004087f
PC: 0x0000000080000478, INSTR: 0x000808b7, REG x17: 0x0000000000080000
PC: 0x000000008000047c, INSTR: 0x03d8889b, REG x17: 0x000000000008003d
PC: 0x0000000080000480, INSTR: 0x00c89893, REG x17: 0x000000008003d000
PC: 0x0000000080000484, INSTR: 0xee388893, REG x17: 0x000000008003cee3
PC: 0x0000000080000488, INSTR: 0x7b18cd03, REG x26: 0x0000000000000000, MEM 0x000000008003d694
PC: 0x000000008000048c, INSTR: 0x00fc8533, REG x10: 0x2e866544a3942551
PC: 0x0000000080000490, INSTR: 0x10009a37, REG x20: 0x0000000010009000
PC: 0x0000000080000494, INSTR: 0x003a1a13, REG x20: 0x0000000080048000
PC: 0x0000000080000498, INSTR: 0x4a0a0a13, REG x20: 0x00000000800484a0
PC: 0x000000008000049c, INSTR: 0xd2da4583, REG x11: 0x0000000000000000, MEM 0x00000000800481cd
PC: 0x00000000800004a0, INSTR: 0x0080181b, REG x16: 0x0000000000000000
PC: 0x00000000800004a4, INSTR: 0x038dd193, REG x3: 0x00000000000000cb
PC: 0x00000000800004a8, INSTR: 0x0052a333, REG x6: 0x0000000000000000
PC: 0x00000000800004ac, INSTR: 0x00000a93, REG x21: 0x0000000000000000
PC: 0x00000000800004b0, INSTR: 0x00400093, REG x1: 0x0000000000000004
PC: 0x00000000800004b4, INSTR: 0x0040006f
PC: 0x00000000800004b8, INSTR: 0x001a8a93, REG x21: 0x0000000000000001
PC: 0x00000000800004bc, INSTR: 0xfe1acee3
PC: 0x00000000800004b8, INSTR: 0x001a8a93, REG x21: 0x0000000000000002
PC: 0x00000000800004bc, INSTR: 0xfe1acee3
PC: 0x00000000800004b8, INSTR: 0x001a8a93, REG x21: 0x0000000000000003
PC: 0x00000000800004bc, INSTR: 0xfe1acee3
