PC: 0x0000000080000374, INSTR: 0x00dc9c93, REG x25: 0x0000000c01e5e000
PC: 0x0000000080000378, INSTR: 0x171c8c93, REG x25: 0x0000000c01e5e171
PC: 0x000000008000037c, INSTR: 0x00cc9c93, REG x25: 0x0000c01e5e171000
PC: 0x0000000080000380, INSTR: 0x9c5c8c93, REG x25: 0x0000c01e5e1709c5
PC: 0x0000000080000384, INSTR: 0x00ec9c93, REG x25: 0x30079785c2714000
PC: 0x0000000080000388, INSTR: 0xcf0c8c93, REG x25: 0x30079785c2713cf0
PC: 0x000000008000038c, INSTR: 0xfeb58d37, REG x26: 0xfffffffffeb58000
PC: 0x0000000080000390, INSTR: 0x345d0d1b, REG x26: 0xfffffffffeb58345
PC: 0x0000000080000394, INSTR: 0x00cd1d13, REG x26: 0xffffffeb58345000
PC: 0x0000000080000398, INSTR: 0xb0fd0d13, REG x26: 0xffffffeb58344b0f
PC: 0x000000008000039c, INSTR: 0x00cd1d13, REG x26: 0xfffeb58344b0f000
PC: 0x00000000800003a0, INSTR: 0x1ebd0d13, REG x26: 0xfffeb58344b0f1eb
PC: 0x00000000800003a4, INSTR: 0x00ed1d13, REG x26: 0xad60d12c3c7ac000
PC: 0x00000000800003a8, INSTR: 0x601d0d13, REG x26: 0xad60d12c3c7ac601
PC: 0x00000000800003ac, INSTR: 0xfff75db7, REG x27: 0xfffffffffff75000
PC: 0x00000000800003b0, INSTR: 0xb33d8d9b, REG x27: 0xfffffffffff74b33
PC: 0x00000000800003b4, INSTR: 0x00fd9d93, REG x27: 0xfffffffba5998000
PC: 0x00000000800003b8, INSTR: 0x5cfd8d93, REG x27: 0xfffffffba59985cf
PC: 0x00000000800003bc, INSTR: 0x00fd9d93, REG x27: 0xfffdd2ccc2e78000
PC: 0x00000000800003c0, INSTR: 0x3c9d8d93, REG x27: 0xfffdd2ccc2e783c9
PC: 0x00000000800003c4, INSTR: 0x00cd9d93, REG x27: 0xdd2ccc2e783c9000
PC: 0x00000000800003c8, INSTR: 0x4ccd8d93, REG x27: 0xdd2ccc2e783c94cc
PC: 0x00000000800003cc, INSTR: 0x75b19e37, REG x28: 0x0000000075b19000
