PC: 0x0000000080000348, INSTR: 0x00dc1c13, REG x24: 0xfffdcf3fd0f22000
PC: 0x000000008000034c, INSTR: 0x0cdc0c13, REG x24: 0xfffdcf3fd0f220cd
PC: 0x0000000080000350, INSTR: 0x00dc1c13, REG x24: 0xb9e7fa1e4419a000
PC: 0x0000000080000354, INSTR: 0xa09c0c13, REG x24: 0xb9e7fa1e44199a09
PC: 0x0000000080000358, INSTR: 0x243c6cb7, REG x25: 0x00000000243c6000
PC: 0x000000008000035c, INSTR: 0x40dc8c9b, REG x25: 0x00000000243c640d
PC: 0x0000000080000360, INSTR: 0x010c9c93, REG x25: 0x0000243c640d0000
PC: 0x0000000080000364, INSTR: 0xa89c8c93, REG x25: 0x0000243c640cfa89
PC: 0x0000000080000368, INSTR: 0x00fc9c93, REG x25: 0x121e32067d448000
PC: 0x000000008000036c, INSTR: 0x20cc8c93, REG x25: 0x121e32067d44820c
PC: 0x0000000080000370, INSTR: 0xf2f88d37, REG x26: 0xfffffffff2f88000
PC: 0x0000000080000374, INSTR: 0x5a5d0d1b, REG x26: 0xfffffffff2f885a5
PC: 0x0000000080000378, INSTR: 0x00ed1d13, REG x26: 0xfffffcbe21694000
PC: 0x000000008000037c, INSTR: 0x059d0d13, REG x26: 0xfffffcbe21694059
PC: 0x0000000080000380, INSTR: 0x00dd1d13, REG x26: 0xff97c42d280b2000
PC: 0x0000000080000384, INSTR: 0xc89d0d13, REG x26: 0xff97c42d280b1c89
PC: 0x0000000080000388, INSTR: 0x008d1d13, REG x26: 0x97c42d280b1c8900
PC: 0x000000008000038c, INSTR: 0x0128bdb7, REG x27: 0x000000000128b000
PC: 0x0000000080000390, INSTR: 0x2f7d8d9b, REG x27: 0x000000000128b2f7
PC: 0x0000000080000394, INSTR: 0x00dd9d93, REG x27: 0x00000025165ee000
PC: 0x0000000080000398, INSTR: 0x541d8d93, REG x27: 0x00000025165ee541
PC: 0x000000008000039c, INSTR: 0x00cd9d93, REG x27: 0x00025165ee541000
PC: 0x00000000800003a0, INSTR: 0x44fd8d93, REG x27: 0x00025165ee54144f
PC: 0x00000000800003a4, INSTR: 0x00dd9d93, REG x27: 0x4a2cbdca8289e000
PC: 0x00000000800003a8, INSTR: 0xed9d8d93, REG x27: 0x4a2cbdca8289ded9
PC: 0x00000000800003ac, INSTR: 0x51310e37, REG x28: 0x0000000051310000
PC: 0x00000000800003b0, INSTR: 0x825e0e1b, REG x28: 0x000000005130f825
PC: 0x00000000800003b4, INSTR: 0x00de1e13, REG x28: 0x00000a261f04a000
PC: 0x00000000800003b8, INSTR: 0x439e0e13, REG x28: 0x00000a261f04a439
PC: 0x00000000800003bc, INSTR: 0x00ce1e13, REG x28: 0x00a261f04a439000
PC: 0x00000000800003c0, INSTR: 0x257e0e13, REG x28: 0x00a261f04a439257
PC: 0x00000000800003c4, INSTR: 0x003e1e13, REG x28: 0x05130f82521c92b8
PC: 0x00000000800003c8, INSTR: 0x0032ceb7, REG x29: 0x000000000032c000
PC: 0x00000000800003cc, INSTR: 0x63de8e9b, REG x29: 0x000000000032c63d
PC: 0x00000000800003d0, INSTR: 0x010e9e93, REG x29: 0x00000032c63d0000
PC: 0x00000000800003d4, INSTR: 0x513e8e93, REG x29: 0x00000032c63d0513
PC: 0x00000000800003d8, INSTR: 0x00ce9e93, REG x29: 0x00032c63d0513000
PC: 0x00000000800003dc, INSTR: 0xcb5e8e93, REG x29: 0x00032c63d0512cb5
PC: 0x00000000800003e0, INSTR: 0x00ce9e93, REG x29: 0x32c63d0512cb5000
PC: 0x00000000800003e4, INSTR: 0xd09e8e93, REG x29: 0x32c63d0512cb4d09
PC: 0x00000000800003e8, INSTR: 0xf3c6af37, REG x30: 0xfffffffff3c6a000
PC: 0x00000000800003ec, INSTR: 0x757f0f1b, REG x30: 0xfffffffff3c6a757
PC: 0x00000000800003f0, INSTR: 0x00cf1f13, REG x30: 0xffffff3c6a757000
PC: 0x00000000800003f4, INSTR: 0x4a3f0f13, REG x30: 0xffffff3c6a7574a3
PC: 0x00000000800003f8, INSTR: 0x012f1f13, REG x30: 0xfcf1a9d5d28c0000
PC: 0x00000000800003fc, INSTR: 0x4e5f0f13, REG x30: 0xfcf1a9d5d28c04e5
PC: 0x0000000080000400, INSTR: 0x001f5f13, REG x30: 0x7e78d4eae9460272
PC: 0x0000000080000404, INSTR: 0x00162fb7, REG x31: 0x0000000000162000
PC: 0x0000000080000408, INSTR: 0xe17f8f9b, REG x31: 0x0000000000161e17
PC: 0x000000008000040c, INSTR: 0x00cf9f93, REG x31: 0x0000000161e17000
PC: 0x0000000080000410, INSTR: 0xbaff8f93, REG x31: 0x0000000161e16baf
PC: 0x0000000080000414, INSTR: 0x00ef9f93, REG x31: 0x000058785aebc000
PC: 0x0000000080000418, INSTR: 0xbd5f8f93, REG x31: 0x000058785aebbbd5
PC: 0x000000008000041c, INSTR: 0x00ff9f93, REG x31: 0x2c3c2d75ddea8000
PC: 0x0000000080000420, INSTR: 0x6daf8f93, REG x31: 0x2c3c2d75ddea86da
PC: 0x0000000080000424, INSTR: 0x0020c3b3, REG x7: 0xfa31e208232b5b0b
PC: 0x0000000080000428, INSTR: 0x01a4d3bb, REG x7: 0x0000000029ad094d
PC: 0x000000008000042c, INSTR: 0x41880dbb, REG x27: 0xffffffffc76db820
PC: 0x0000000080000430, INSTR: 0x40cbdcbb, REG x25: 0xffffffffffffe45e
PC: 0x0000000080000434, INSTR: 0x40128733, REG x14: 0x32cb25cc6707a915
PC: 0x0000000080000438, INSTR: 0x00b90abb, REG x21: 0xffffffffde36a826
PC: 0x000000008000043c, INSTR: 0x403f8733, REG x14: 0x3937ea09058a69f1
PC: 0x0000000080000440, INSTR: 0x40e60933, REG x18: 0x42546e4a33839d9b
PC: 0x0000000080000444, INSTR: 0x41dc5bb3, REG x23: 0xffdcf3fd0f220ccd
PC: 0x0000000080000448, INSTR: 0x00000a13, REG x20: 0x0000000000000000
PC: 0x000000008000044c, INSTR: 0x00400213, REG x4: 0x0000000000000004
PC: 0x0000000080000450, INSTR: 0x0040006f
PC: 0x0000000080000454, INSTR: 0x08005437, REG x8: 0x0000000008005000
PC: 0x0000000080000458, INSTR: 0x00441413, REG x8: 0x0000000080050000
PC: 0x000000008000045c, INSTR: 0x94340413, REG x8: 0x000000008004f943
PC: 0x0000000080000460, INSTR: 0xf3c40323, MEM 0x000000008004f869: 0x00000000000000b8
PC: 0x0000000080000464, INSTR: 0x10007537, REG x10: 0x0000000010007000
PC: 0x0000000080000468, INSTR: 0x00351513, REG x10: 0x0000000080038000
PC: 0x000000008000046c, INSTR: 0xf6550513, REG x10: 0x0000000080037f65
PC: 0x0000000080000470, INSTR: 0x5b8535a3, MEM 0x0000000080038510: 0xb9e7fa1e44199a09
PC: 0x0000000080000474, INSTR: 0xac7bc893, REG x17: 0x00230c02f0ddf60a
PC: 0x0000000080000478, INSTR: 0x41c80933, REG x18: 0x5d74a93fb96abf71
PC: 0x000000008000047c, INSTR: 0x416b02b3, REG x5: 0x0000000000000000
PC: 0x0000000080000480, INSTR: 0xa5054313, REG x6: 0xffffffff7ffc8535
PC: 0x0000000080000484, INSTR: 0x20011b37, REG x22: 0x0000000020011000
PC: 0x0000000080000488, INSTR: 0x002b1b13, REG x22: 0x0000000080044000
PC: 0x000000008000048c, INSTR: 0x5e0b0b13, REG x22: 0x00000000800445e0
PC: 0x0000000080000490, INSTR: 0xff8b4a83, REG x21: 0x0000000000000000, MEM 0x00000000800445d8
PC: 0x0000000080000494, INSTR: 0x41c98333, REG x6: 0x374fd57ccaf61f93
PC: 0x0000000080000498, INSTR: 0x2000ddb7, REG x27: 0x000000002000d000
PC: 0x000000008000049c, INSTR: 0x002d9d93, REG x27: 0x0000000080034000
PC: 0x00000000800004a0, INSTR: 0xbe6d8d93, REG x27: 0x0000000080033be6
PC: 0x00000000800004a4, INSTR: 0x13ada123, MEM 0x0000000080033d08: 0x000000000b1c8900
PC: 0x00000000800004a8, INSTR: 0x02731593, REG x11: 0x7b0fc98000000000
PC: 0x00000000800004ac, INSTR: 0x41af0cb3, REG x25: 0xe6b4a7c2de297972
PC: 0x00000000800004b0, INSTR: 0x41dc08b3, REG x17: 0x8721bd19314e4d00
PC: 0x00000000800004b4, INSTR: 0x41840633, REG x12: 0x461805e23beb5f3a
PC: 0x00000000800004b8, INSTR: 0x59cd861b, REG x12: 0xffffffff80034182
PC: 0x00000000800004bc, INSTR: 0x001a0a13, REG x20: 0x0000000000000001
PC: 0x00000000800004c0, INSTR: 0xf84a4ae3
PC: 0x0000000080000454, INSTR: 0x08005437, REG x8: 0x0000000008005000
PC: 0x0000000080000458, INSTR: 0x00441413, REG x8: 0x0000000080050000
PC: 0x000000008000045c, INSTR: 0x94340413, REG x8: 0x000000008004f943
PC: 0x0000000080000460, INSTR: 0xf3c40323, MEM 0x000000008004f869: 0x00000000000000b8
PC: 0x0000000080000464, INSTR: 0x10007537, REG x10: 0x0000000010007000
