PC: 0x0000000080000258, INSTR: 0x3c780813, REG x16: 0x0001b601c94323c7
PC: 0x000000008000025c, INSTR: 0x00e81813, REG x16: 0x6d807250c8f1c000
PC: 0x0000000080000260, INSTR: 0x2a880813, REG x16: 0x6d807250c8f1c2a8
PC: 0x0000000080000264, INSTR: 0xfd9da8b7, REG x17: 0xfffffffffd9da000
PC: 0x0000000080000268, INSTR: 0x92b8889b, REG x17: 0xfffffffffd9d992b
PC: 0x000000008000026c, INSTR: 0x00d89893, REG x17: 0xffffffb3b3256000
PC: 0x0000000080000270, INSTR: 0xed388893, REG x17: 0xffffffb3b3255ed3
PC: 0x0000000080000274, INSTR: 0x00c89893, REG x17: 0xfffb3b3255ed3000
PC: 0x0000000080000278, INSTR: 0x68d88893, REG x17: 0xfffb3b3255ed368d
PC: 0x000000008000027c, INSTR: 0x00c89893, REG x17: 0xb3b3255ed368d000
PC: 0x0000000080000280, INSTR: 0x6f388893, REG x17: 0xb3b3255ed368d6f3
PC: 0x0000000080000284, INSTR: 0x000fe937, REG x18: 0x00000000000fe000
PC: 0x0000000080000288, INSTR: 0x48d9091b, REG x18: 0x00000000000fe48d
PC: 0x000000008000028c, INSTR: 0x00e91913, REG x18: 0x00000003f9234000
PC: 0x0000000080000290, INSTR: 0x54f90913, REG x18: 0x00000003f923454f
PC: 0x0000000080000294, INSTR: 0x00c91913, REG x18: 0x00003f923454f000
PC: 0x0000000080000298, INSTR: 0xc9590913, REG x18: 0x00003f923454ec95
PC: 0x000000008000029c, INSTR: 0x01191913, REG x18: 0x7f2468a9d92a0000
PC: 0x00000000800002a0, INSTR: 0xbf790913, REG x18: 0x7f2468a9d929fbf7
PC: 0x00000000800002a4, INSTR: 0xffafe9b7, REG x19: 0xffffffffffafe000
PC: 0x00000000800002a8, INSTR: 0xd259899b, REG x19: 0xffffffffffafdd25
PC: 0x00000000800002ac, INSTR: 0x00c99993, REG x19: 0xfffffffafdd25000
PC: 0x00000000800002b0, INSTR: 0x96598993, REG x19: 0xfffffffafdd24965
PC: 0x00000000800002b4, INSTR: 0x00c99993, REG x19: 0xffffafdd24965000
PC: 0x00000000800002b8, INSTR: 0x9d998993, REG x19: 0xffffafdd249649d9
PC: 0x00000000800002bc, INSTR: 0x00f99993, REG x19: 0xd7ee924b24ec8000
PC: 0x00000000800002c0, INSTR: 0x16098993, REG x19: 0xd7ee924b24ec8160
PC: 0x00000000800002c4, INSTR: 0xff643a37, REG x20: 0xffffffffff643000
PC: 0x00000000800002c8, INSTR: 0xccfa0a1b, REG x20: 0xffffffffff642ccf
PC: 0x00000000800002cc, INSTR: 0x00ea1a13, REG x20: 0xffffffd90b33c000
PC: 0x00000000800002d0, INSTR: 0xab5a0a13, REG x20: 0xffffffd90b33bab5
PC: 0x00000000800002d4, INSTR: 0x00ca1a13, REG x20: 0xfffd90b33bab5000
PC: 0x00000000800002d8, INSTR: 0x3dfa0a13, REG x20: 0xfffd90b33bab53df
PC: 0x00000000800002dc, INSTR: 0x00da1a13, REG x20: 0xb21667756a7be000
PC: 0x00000000800002e0, INSTR: 0xedaa0a13, REG x20: 0xb21667756a7bdeda
PC: 0x00000000800002e4, INSTR: 0xff943ab7, REG x21: 0xffffffffff943000
PC: 0x00000000800002e8, INSTR: 0xde9a8a9b, REG x21: 0xffffffffff942de9
PC: 0x00000000800002ec, INSTR: 0x00ea9a93, REG x21: 0xffffffe50b7a4000
PC: 0x00000000800002f0, INSTR: 0x73ba8a93, REG x21: 0xffffffe50b7a473b
PC: 0x00000000800002f4, INSTR: 0x00ea9a93, REG x21: 0xfff942de91cec000
PC: 0x00000000800002f8, INSTR: 0xf01a8a93, REG x21: 0xfff942de91cebf01
PC: 0x00000000800002fc, INSTR: 0x00ca9a93, REG x21: 0x942de91cebf01000
PC: 0x0000000080000300, INSTR: 0xf73a8a93, REG x21: 0x942de91cebf00f73
PC: 0x0000000080000304, INSTR: 0xff98eb37, REG x22: 0xffffffffff98e000
PC: 0x0000000080000308, INSTR: 0xd55b0b1b, REG x22: 0xffffffffff98dd55
PC: 0x000000008000030c, INSTR: 0x00cb1b13, REG x22: 0xfffffff98dd55000
PC: 0x0000000080000310, INSTR: 0xc97b0b13, REG x22: 0xfffffff98dd54c97
PC: 0x0000000080000314, INSTR: 0x00eb1b13, REG x22: 0xfffe63755325c000
PC: 0x0000000080000318, INSTR: 0xb41b0b13, REG x22: 0xfffe63755325bb41
PC: 0x000000008000031c, INSTR: 0x00db1b13, REG x22: 0xcc6eaa64b7682000
PC: 0x0000000080000320, INSTR: 0x746b0b13, REG x22: 0xcc6eaa64b7682746
PC: 0x0000000080000324, INSTR: 0xffde8bb7, REG x23: 0xffffffffffde8000
PC: 0x0000000080000328, INSTR: 0xcbdb8b9b, REG x23: 0xffffffffffde7cbd
PC: 0x000000008000032c, INSTR: 0x00cb9b93, REG x23: 0xfffffffde7cbd000
PC: 0x0000000080000330, INSTR: 0x9afb8b93, REG x23: 0xfffffffde7cbc9af
PC: 0x0000000080000334, INSTR: 0x00eb9b93, REG x23: 0xffff79f2f26bc000
PC: 0x0000000080000338, INSTR: 0x7f7b8b93, REG x23: 0xffff79f2f26bc7f7
PC: 0x000000008000033c, INSTR: 0x00cb9b93, REG x23: 0xf79f2f26bc7f7000
PC: 0x0000000080000340, INSTR: 0xd29b8b93, REG x23: 0xf79f2f26bc7f6d29
PC: 0x0000000080000344, INSTR: 0xfee57c37, REG x24: 0xfffffffffee57000
PC: 0x0000000080000348, INSTR: 0x197c0c1b, REG x24: 0xfffffffffee57197
PC: 0x000000008000034c, INSTR: 0x00cc1c13, REG x24: 0xffffffee57197000
PC: 0x0000000080000350, INSTR: 0x771c0c13, REG x24: 0xffffffee57197771
PC: 0x0000000080000354, INSTR: 0x00ec1c13, REG x24: 0xfffb95c65ddc4000
PC: 0x0000000080000358, INSTR: 0x415c0c13, REG x24: 0xfffb95c65ddc4415
PC: 0x000000008000035c, INSTR: 0x00cc1c13, REG x24: 0xb95c65ddc4415000
PC: 0x0000000080000360, INSTR: 0xc16c0c13, REG x24: 0xb95c65ddc4414c16
PC: 0x0000000080000364, INSTR: 0x2fe6ecb7, REG x25: 0x000000002fe6e000
PC: 0x0000000080000368, INSTR: 0x49bc8c9b, REG x25: 0x000000002fe6e49b
PC: 0x000000008000036c, INSTR: 0x00fc9c93, REG x25: 0x000017f3724d8000
PC: 0x0000000080000370, INSTR: 0xfa1c8c93, REG x25: 0x000017f3724d7fa1
PC: 0x0000000080000374, INSTR: 0x00ec9c93, REG x25: 0x05fcdc935fe84000
PC: 0x0000000080000378, INSTR: 0xabbc8c93, REG x25: 0x05fcdc935fe83abb
PC: 0x000000008000037c, INSTR: 0x004c9c93, REG x25: 0x5fcdc935fe83abb0
PC: 0x0000000080000380, INSTR: 0xffde8d37, REG x26: 0xffffffffffde8000
PC: 0x0000000080000384, INSTR: 0x36dd0d1b, REG x26: 0xffffffffffde836d
PC: 0x0000000080000388, INSTR: 0x00cd1d13, REG x26: 0xfffffffde836d000
PC: 0x000000008000038c, INSTR: 0x3a1d0d13, REG x26: 0xfffffffde836d3a1
PC: 0x0000000080000390, INSTR: 0x00fd1d13, REG x26: 0xfffef41b69d08000
PC: 0x0000000080000394, INSTR: 0xc1bd0d13, REG x26: 0xfffef41b69d07c1b
PC: 0x0000000080000398, INSTR: 0x00ed1d13, REG x26: 0xbd06da741f06c000
PC: 0x000000008000039c, INSTR: 0xcccd0d13, REG x26: 0xbd06da741f06bccc
PC: 0x00000000800003a0, INSTR: 0x03557db7, REG x27: 0x0000000003557000
PC: 0x00000000800003a4, INSTR: 0xd7dd8d9b, REG x27: 0x0000000003556d7d
PC: 0x00000000800003a8, INSTR: 0x00cd9d93, REG x27: 0x0000003556d7d000
PC: 0x00000000800003ac, INSTR: 0x5e5d8d93, REG x27: 0x0000003556d7d5e5
PC: 0x00000000800003b0, INSTR: 0x00dd9d93, REG x27: 0x0006aadafabca000
PC: 0x00000000800003b4, INSTR: 0x46fd8d93, REG x27: 0x0006aadafabca46f
PC: 0x00000000800003b8, INSTR: 0x00cd9d93, REG x27: 0x6aadafabca46f000
PC: 0x00000000800003bc, INSTR: 0xdd2d8d93, REG x27: 0x6aadafabca46edd2
PC: 0x00000000800003c0, INSTR: 0xff6a4e37, REG x28: 0xffffffffff6a4000
PC: 0x00000000800003c4, INSTR: 0xbbfe0e1b, REG x28: 0xffffffffff6a3bbf
PC: 0x00000000800003c8, INSTR: 0x00ce1e13, REG x28: 0xfffffff6a3bbf000
PC: 0x00000000800003cc, INSTR: 0x291e0e13, REG x28: 0xfffffff6a3bbf291
PC: 0x00000000800003d0, INSTR: 0x00ce1e13, REG x28: 0xffff6a3bbf291000
PC: 0x00000000800003d4, INSTR: 0x05fe0e13, REG x28: 0xffff6a3bbf29105f
PC: 0x00000000800003d8, INSTR: 0x00fe1e13, REG x28: 0xb51ddf94882f8000
PC: 0x00000000800003dc, INSTR: 0x35be0e13, REG x28: 0xb51ddf94882f835b
PC: 0x00000000800003e0, INSTR: 0xfff17eb7, REG x29: 0xfffffffffff17000
