PC: 0x0000000080000274, INSTR: 0xbf388893, REG x17: 0xfffffff4f3822bf3
PC: 0x0000000080000278, INSTR: 0x00c89893, REG x17: 0xffff4f3822bf3000
PC: 0x000000008000027c, INSTR: 0x28188893, REG x17: 0xffff4f3822bf3281
PC: 0x0000000080000280, INSTR: 0x00e89893, REG x17: 0xd3ce08afcca04000
PC: 0x0000000080000284, INSTR: 0x42588893, REG x17: 0xd3ce08afcca04425
PC: 0x0000000080000288, INSTR: 0xf91ab937, REG x18: 0xfffffffff91ab000
PC: 0x000000008000028c, INSTR: 0xc999091b, REG x18: 0xfffffffff91aac99
PC: 0x0000000080000290, INSTR: 0x00c91913, REG x18: 0xffffff91aac99000
PC: 0x0000000080000294, INSTR: 0xae590913, REG x18: 0xffffff91aac98ae5
PC: 0x0000000080000298, INSTR: 0x00c91913, REG x18: 0xfff91aac98ae5000
PC: 0x000000008000029c, INSTR: 0xda990913, REG x18: 0xfff91aac98ae4da9
PC: 0x00000000800002a0, INSTR: 0x00c91913, REG x18: 0x91aac98ae4da9000
PC: 0x00000000800002a4, INSTR: 0x40a90913, REG x18: 0x91aac98ae4da940a
PC: 0x00000000800002a8, INSTR: 0x041fe9b7, REG x19: 0x00000000041fe000
PC: 0x00000000800002ac, INSTR: 0x86d9899b, REG x19: 0x00000000041fd86d
PC: 0x00000000800002b0, INSTR: 0x00c99993, REG x19: 0x00000041fd86d000
PC: 0x00000000800002b4, INSTR: 0x2f598993, REG x19: 0x00000041fd86d2f5
PC: 0x00000000800002b8, INSTR: 0x00c99993, REG x19: 0x00041fd86d2f5000
PC: 0x00000000800002bc, INSTR: 0x3f398993, REG x19: 0x00041fd86d2f53f3
PC: 0x00000000800002c0, INSTR: 0x00c99993, REG x19: 0x41fd86d2f53f3000
PC: 0x00000000800002c4, INSTR: 0x75898993, REG x19: 0x41fd86d2f53f3758
PC: 0x00000000800002c8, INSTR: 0x016fca37, REG x20: 0x00000000016fc000
PC: 0x00000000800002cc, INSTR: 0x50fa0a1b, REG x20: 0x00000000016fc50f
PC: 0x00000000800002d0, INSTR: 0x00ca1a13, REG x20: 0x00000016fc50f000
PC: 0x00000000800002d4, INSTR: 0x75da0a13, REG x20: 0x00000016fc50f75d
PC: 0x00000000800002d8, INSTR: 0x00ca1a13, REG x20: 0x00016fc50f75d000
PC: 0x00000000800002dc, INSTR: 0xd73a0a13, REG x20: 0x00016fc50f75cd73
PC: 0x00000000800002e0, INSTR: 0x00ea1a13, REG x20: 0x5bf143dd735cc000
PC: 0x00000000800002e4, INSTR: 0xf62a0a13, REG x20: 0x5bf143dd735cbf62
PC: 0x00000000800002e8, INSTR: 0xff1a9ab7, REG x21: 0xffffffffff1a9000
PC: 0x00000000800002ec, INSTR: 0xc85a8a9b, REG x21: 0xffffffffff1a8c85
PC: 0x00000000800002f0, INSTR: 0x00da9a93, REG x21: 0xffffffe35190a000
PC: 0x00000000800002f4, INSTR: 0x861a8a93, REG x21: 0xffffffe351909861
PC: 0x00000000800002f8, INSTR: 0x00ca9a93, REG x21: 0xfffe351909861000
PC: 0x00000000800002fc, INSTR: 0xdfda8a93, REG x21: 0xfffe351909860dfd
PC: 0x0000000080000300, INSTR: 0x00da9a93, REG x21: 0xc6a32130c1bfa000
PC: 0x0000000080000304, INSTR: 0x1c3a8a93, REG x21: 0xc6a32130c1bfa1c3
PC: 0x0000000080000308, INSTR: 0xfff3cb37, REG x22: 0xfffffffffff3c000
PC: 0x000000008000030c, INSTR: 0x18db0b1b, REG x22: 0xfffffffffff3c18d
PC: 0x0000000080000310, INSTR: 0x00fb1b13, REG x22: 0xfffffff9e0c68000
PC: 0x0000000080000314, INSTR: 0xe17b0b13, REG x22: 0xfffffff9e0c67e17
PC: 0x0000000080000318, INSTR: 0x00eb1b13, REG x22: 0xfffe78319f85c000
PC: 0x000000008000031c, INSTR: 0xd07b0b13, REG x22: 0xfffe78319f85bd07
PC: 0x0000000080000320, INSTR: 0x00db1b13, REG x22: 0xcf0633f0b7a0e000
PC: 0x0000000080000324, INSTR: 0xbf4b0b13, REG x22: 0xcf0633f0b7a0dbf4
PC: 0x0000000080000328, INSTR: 0xc83e4bb7, REG x23: 0xffffffffc83e4000
PC: 0x000000008000032c, INSTR: 0xb4fb8b9b, REG x23: 0xffffffffc83e3b4f
PC: 0x0000000080000330, INSTR: 0x00db9b93, REG x23: 0xfffff907c769e000
PC: 0x0000000080000334, INSTR: 0x5ddb8b93, REG x23: 0xfffff907c769e5dd
PC: 0x0000000080000338, INSTR: 0x010b9b93, REG x23: 0xf907c769e5dd0000
