PC: 0x0000000080000344, INSTR: 0x397c0c13, REG x24: 0xffffffe182f36397
PC: 0x0000000080000348, INSTR: 0x00dc1c13, REG x24: 0xfffc305e6c72e000
PC: 0x000000008000034c, INSTR: 0x1ebc0c13, REG x24: 0xfffc305e6c72e1eb
PC: 0x0000000080000350, INSTR: 0x00cc1c13, REG x24: 0xc305e6c72e1eb000
PC: 0x0000000080000354, INSTR: 0xdc9c0c13, REG x24: 0xc305e6c72e1eadc9
PC: 0x0000000080000358, INSTR: 0x00f6ccb7, REG x25: 0x0000000000f6c000
PC: 0x000000008000035c, INSTR: 0xb11c8c9b, REG x25: 0x0000000000f6bb11
PC: 0x0000000080000360, INSTR: 0x00cc9c93, REG x25: 0x0000000f6bb11000
PC: 0x0000000080000364, INSTR: 0xf17c8c93, REG x25: 0x0000000f6bb10f17
PC: 0x0000000080000368, INSTR: 0x00dc9c93, REG x25: 0x0001ed7621e2e000
PC: 0x000000008000036c, INSTR: 0x0d5c8c93, REG x25: 0x0001ed7621e2e0d5
PC: 0x0000000080000370, INSTR: 0x00ec9c93, REG x25: 0x7b5d8878b8354000
PC: 0x0000000080000374, INSTR: 0x883c8c93, REG x25: 0x7b5d8878b8353883
PC: 0x0000000080000378, INSTR: 0xfdeb1d37, REG x26: 0xfffffffffdeb1000
PC: 0x000000008000037c, INSTR: 0x2d7d0d1b, REG x26: 0xfffffffffdeb12d7
PC: 0x0000000080000380, INSTR: 0x00cd1d13, REG x26: 0xffffffdeb12d7000
PC: 0x0000000080000384, INSTR: 0xa6dd0d13, REG x26: 0xffffffdeb12d6a6d
PC: 0x0000000080000388, INSTR: 0x00cd1d13, REG x26: 0xfffdeb12d6a6d000
PC: 0x000000008000038c, INSTR: 0x0fbd0d13, REG x26: 0xfffdeb12d6a6d0fb
PC: 0x0000000080000390, INSTR: 0x00cd1d13, REG x26: 0xdeb12d6a6d0fb000
PC: 0x0000000080000394, INSTR: 0xa2ad0d13, REG x26: 0xdeb12d6a6d0faa2a
PC: 0x0000000080000398, INSTR: 0xfff69db7, REG x27: 0xfffffffffff69000
PC: 0x000000008000039c, INSTR: 0xe15d8d9b, REG x27: 0xfffffffffff68e15
PC: 0x00000000800003a0, INSTR: 0x00dd9d93, REG x27: 0xfffffffed1c2a000
PC: 0x00000000800003a4, INSTR: 0x991d8d93, REG x27: 0xfffffffed1c29991
PC: 0x00000000800003a8, INSTR: 0x00ed9d93, REG x27: 0xffffb470a6644000
PC: 0x00000000800003ac, INSTR: 0x6f7d8d93, REG x27: 0xffffb470a66446f7
PC: 0x00000000800003b0, INSTR: 0x00ed9d93, REG x27: 0xed1c299911bdc000
PC: 0x00000000800003b4, INSTR: 0x4bcd8d93, REG x27: 0xed1c299911bdc4bc
PC: 0x00000000800003b8, INSTR: 0xff743e37, REG x28: 0xffffffffff743000
PC: 0x00000000800003bc, INSTR: 0x73fe0e1b, REG x28: 0xffffffffff74373f
PC: 0x00000000800003c0, INSTR: 0x00ce1e13, REG x28: 0xfffffff74373f000
PC: 0x00000000800003c4, INSTR: 0x6a5e0e13, REG x28: 0xfffffff74373f6a5
PC: 0x00000000800003c8, INSTR: 0x00fe1e13, REG x28: 0xfffba1b9fb528000
PC: 0x00000000800003cc, INSTR: 0x72be0e13, REG x28: 0xfffba1b9fb52872b
PC: 0x00000000800003d0, INSTR: 0x00ce1e13, REG x28: 0xba1b9fb52872b000
PC: 0x00000000800003d4, INSTR: 0x9f0e0e13, REG x28: 0xba1b9fb52872a9f0
PC: 0x00000000800003d8, INSTR: 0x0014deb7, REG x29: 0x000000000014d000
PC: 0x00000000800003dc, INSTR: 0xf69e8e9b, REG x29: 0x000000000014cf69
PC: 0x00000000800003e0, INSTR: 0x00de9e93, REG x29: 0x0000000299ed2000
PC: 0x00000000800003e4, INSTR: 0xe6fe8e93, REG x29: 0x0000000299ed1e6f
PC: 0x00000000800003e8, INSTR: 0x00de9e93, REG x29: 0x0000533da3cde000
PC: 0x00000000800003ec, INSTR: 0xf49e8e93, REG x29: 0x0000533da3cddf49
PC: 0x00000000800003f0, INSTR: 0x00ce9e93, REG x29: 0x0533da3cddf49000
PC: 0x00000000800003f4, INSTR: 0x4dbe8e93, REG x29: 0x0533da3cddf494db
PC: 0x00000000800003f8, INSTR: 0x0548ef37, REG x30: 0x000000000548e000
