PC: 0x000000008000031c, INSTR: 0xf01b0b13, REG x22: 0xc5165acff049cf01
PC: 0x0000000080000320, INSTR: 0x001a0bb7, REG x23: 0x00000000001a0000
PC: 0x0000000080000324, INSTR: 0x8f5b8b9b, REG x23: 0x000000000019f8f5
PC: 0x0000000080000328, INSTR: 0x010b9b93, REG x23: 0x00000019f8f50000
PC: 0x000000008000032c, INSTR: 0x459b8b93, REG x23: 0x00000019f8f50459
PC: 0x0000000080000330, INSTR: 0x00eb9b93, REG x23: 0x00067e3d41164000
PC: 0x0000000080000334, INSTR: 0xa25b8b93, REG x23: 0x00067e3d41163a25
PC: 0x0000000080000338, INSTR: 0x00cb9b93, REG x23: 0x67e3d41163a25000
PC: 0x000000008000033c, INSTR: 0x541b8b93, REG x23: 0x67e3d41163a25541
PC: 0x0000000080000340, INSTR: 0xfed56c37, REG x24: 0xfffffffffed56000
PC: 0x0000000080000344, INSTR: 0x247c0c1b, REG x24: 0xfffffffffed56247
PC: 0x0000000080000348, INSTR: 0x00cc1c13, REG x24: 0xffffffed56247000
PC: 0x000000008000034c, INSTR: 0xe41c0c13, REG x24: 0xffffffed56246e41
PC: 0x0000000080000350, INSTR: 0x00dc1c13, REG x24: 0xfffdaac48dc82000
PC: 0x0000000080000354, INSTR: 0x7bdc0c13, REG x24: 0xfffdaac48dc827bd
PC: 0x0000000080000358, INSTR: 0x00dc1c13, REG x24: 0xb55891b904f7a000
PC: 0x000000008000035c, INSTR: 0xa31c0c13, REG x24: 0xb55891b904f79a31
PC: 0x0000000080000360, INSTR: 0x00189cb7, REG x25: 0x0000000000189000
PC: 0x0000000080000364, INSTR: 0x14bc8c9b, REG x25: 0x000000000018914b
PC: 0x0000000080000368, INSTR: 0x00ec9c93, REG x25: 0x000000062452c000
PC: 0x000000008000036c, INSTR: 0xb37c8c93, REG x25: 0x000000062452bb37
PC: 0x0000000080000370, INSTR: 0x00ec9c93, REG x25: 0x00018914aecdc000
PC: 0x0000000080000374, INSTR: 0x013c8c93, REG x25: 0x00018914aecdc013
PC: 0x0000000080000378, INSTR: 0x00ec9c93, REG x25: 0x62452bb37004c000
PC: 0x000000008000037c, INSTR: 0xd28c8c93, REG x25: 0x62452bb37004bd28
PC: 0x0000000080000380, INSTR: 0xfe5fed37, REG x26: 0xfffffffffe5fe000
PC: 0x0000000080000384, INSTR: 0x079d0d1b, REG x26: 0xfffffffffe5fe079
PC: 0x0000000080000388, INSTR: 0x00cd1d13, REG x26: 0xffffffe5fe079000
PC: 0x000000008000038c, INSTR: 0x15dd0d13, REG x26: 0xffffffe5fe07915d
PC: 0x0000000080000390, INSTR: 0x00cd1d13, REG x26: 0xfffe5fe07915d000
PC: 0x0000000080000394, INSTR: 0xf0bd0d13, REG x26: 0xfffe5fe07915cf0b
PC: 0x0000000080000398, INSTR: 0x00cd1d13, REG x26: 0xe5fe07915cf0b000
PC: 0x000000008000039c, INSTR: 0x030d0d13, REG x26: 0xe5fe07915cf0b030
PC: 0x00000000800003a0, INSTR: 0xfff00db7, REG x27: 0xfffffffffff00000
PC: 0x00000000800003a4, INSTR: 0x68fd8d9b, REG x27: 0xfffffffffff0068f
PC: 0x00000000800003a8, INSTR: 0x00ed9d93, REG x27: 0xfffffffc01a3c000
PC: 0x00000000800003ac, INSTR: 0x907d8d93, REG x27: 0xfffffffc01a3b907
PC: 0x00000000800003b0, INSTR: 0x010d9d93, REG x27: 0xfffc01a3b9070000
PC: 0x00000000800003b4, INSTR: 0x16fd8d93, REG x27: 0xfffc01a3b907016f
PC: 0x00000000800003b8, INSTR: 0x00dd9d93, REG x27: 0x80347720e02de000
PC: 0x00000000800003bc, INSTR: 0xe93d8d93, REG x27: 0x80347720e02dde93
PC: 0x00000000800003c0, INSTR: 0x5cf53e37, REG x28: 0x000000005cf53000
PC: 0x00000000800003c4, INSTR: 0x86de0e1b, REG x28: 0x000000005cf5286d
PC: 0x00000000800003c8, INSTR: 0x010e1e13, REG x28: 0x00005cf5286d0000
PC: 0x00000000800003cc, INSTR: 0x9efe0e13, REG x28: 0x00005cf5286cf9ef
PC: 0x00000000800003d0, INSTR: 0x00de1e13, REG x28: 0x0b9ea50d9f3de000
PC: 0x00000000800003d4, INSTR: 0xbb9e0e13, REG x28: 0x0b9ea50d9f3ddbb9
PC: 0x00000000800003d8, INSTR: 0x003e1e13, REG x28: 0x5cf5286cf9eeddc8
PC: 0x00000000800003dc, INSTR: 0xff2caeb7, REG x29: 0xffffffffff2ca000
PC: 0x00000000800003e0, INSTR: 0xdd5e8e9b, REG x29: 0xffffffffff2c9dd5
PC: 0x00000000800003e4, INSTR: 0x00ce9e93, REG x29: 0xfffffff2c9dd5000
PC: 0x00000000800003e8, INSTR: 0x2dfe8e93, REG x29: 0xfffffff2c9dd52df
PC: 0x00000000800003ec, INSTR: 0x00ce9e93, REG x29: 0xffff2c9dd52df000
PC: 0x00000000800003f0, INSTR: 0xb4be8e93, REG x29: 0xffff2c9dd52deb4b
PC: 0x00000000800003f4, INSTR: 0x00ce9e93, REG x29: 0xf2c9dd52deb4b000
PC: 0x00000000800003f8, INSTR: 0xbbee8e93, REG x29: 0xf2c9dd52deb4abbe
PC: 0x00000000800003fc, INSTR: 0x89b47f37, REG x30: 0xffffffff89b47000
PC: 0x0000000080000400, INSTR: 0x779f0f1b, REG x30: 0xffffffff89b47779
PC: 0x0000000080000404, INSTR: 0x010f1f13, REG x30: 0xffff89b477790000
