PC: 0x0000000080000490, INSTR: 0xfa59dee3
PC: 0x000000008000044c, INSTR: 0x40d80cbb, REG x25: 0xffffffffc2b92bcc
PC: 0x0000000080000450, INSTR: 0x408004bb, REG x9: 0xfffffffffcf13936
PC: 0x0000000080000454, INSTR: 0x42065e13, REG x28: 0x0000000065e2f7e6
PC: 0x0000000080000458, INSTR: 0x40bf85bb, REG x11: 0xffffffffb6dcfb81
PC: 0x000000008000045c, INSTR: 0x400277b7, REG x15: 0x0000000040027000
PC: 0x0000000080000460, INSTR: 0x00179793, REG x15: 0x000000008004e000
PC: 0x0000000080000464, INSTR: 0xc7b78793, REG x15: 0x000000008004dc7b
PC: 0x0000000080000468, INSTR: 0x7047a6a3, MEM 0x000000008004e388: 0x00000000a3463847
PC: 0x000000008000046c, INSTR: 0x405f86bb, REG x13: 0xffffffffe2f5ed64
PC: 0x0000000080000470, INSTR: 0x20013537, REG x10: 0x0000000020013000
PC: 0x0000000080000474, INSTR: 0x00251513, REG x10: 0x000000008004c000
PC: 0x0000000080000478, INSTR: 0xecc50513, REG x10: 0x000000008004becc
PC: 0x000000008000047c, INSTR: 0xe9850703, REG x14: 0x0000000000000000, MEM 0x000000008004bd64
PC: 0x0000000080000480, INSTR: 0x0140f733, REG x14: 0x520033a02b408001
PC: 0x0000000080000484, INSTR: 0x40f60fbb, REG x31: 0xffffffffe2f5ed65
PC: 0x0000000080000488, INSTR: 0x411a8b3b, REG x22: 0xffffffffc13389ca
