PC: 0x00000000800002cc, INSTR: 0xd72a0a13, REG x20: 0x71fd3e8b2cbf9d72
PC: 0x00000000800002d0, INSTR: 0x0023bab7, REG x21: 0x000000000023b000
PC: 0x00000000800002d4, INSTR: 0x64da8a9b, REG x21: 0x000000000023b64d
PC: 0x00000000800002d8, INSTR: 0x00ca9a93, REG x21: 0x000000023b64d000
PC: 0x00000000800002dc, INSTR: 0x871a8a93, REG x21: 0x000000023b64c871
PC: 0x00000000800002e0, INSTR: 0x00ea9a93, REG x21: 0x00008ed9321c4000
PC: 0x00000000800002e4, INSTR: 0x103a8a93, REG x21: 0x00008ed9321c4103
PC: 0x00000000800002e8, INSTR: 0x00ea9a93, REG x21: 0x23b64c871040c000
PC: 0x00000000800002ec, INSTR: 0x1eea8a93, REG x21: 0x23b64c871040c1ee
PC: 0x00000000800002f0, INSTR: 0xfff5ab37, REG x22: 0xfffffffffff5a000
PC: 0x00000000800002f4, INSTR: 0xe7bb0b1b, REG x22: 0xfffffffffff59e7b
PC: 0x00000000800002f8, INSTR: 0x00eb1b13, REG x22: 0xfffffffd679ec000
PC: 0x00000000800002fc, INSTR: 0x3b7b0b13, REG x22: 0xfffffffd679ec3b7
PC: 0x0000000080000300, INSTR: 0x00cb1b13, REG x22: 0xffffd679ec3b7000
PC: 0x0000000080000304, INSTR: 0x257b0b13, REG x22: 0xffffd679ec3b7257
PC: 0x0000000080000308, INSTR: 0x00db1b13, REG x22: 0xfacf3d876e4ae000
PC: 0x000000008000030c, INSTR: 0xe6ab0b13, REG x22: 0xfacf3d876e4ade6a
PC: 0x0000000080000310, INSTR: 0x0034fbb7, REG x23: 0x000000000034f000
PC: 0x0000000080000314, INSTR: 0x9c7b8b9b, REG x23: 0x000000000034e9c7
PC: 0x0000000080000318, INSTR: 0x00cb9b93, REG x23: 0x000000034e9c7000
PC: 0x000000008000031c, INSTR: 0x7b3b8b93, REG x23: 0x000000034e9c77b3
PC: 0x0000000080000320, INSTR: 0x010b9b93, REG x23: 0x00034e9c77b30000
PC: 0x0000000080000324, INSTR: 0x009b8b93, REG x23: 0x00034e9c77b30009
PC: 0x0000000080000328, INSTR: 0x00cb9b93, REG x23: 0x34e9c77b30009000
PC: 0x000000008000032c, INSTR: 0x210b8b93, REG x23: 0x34e9c77b30009210
PC: 0x0000000080000330, INSTR: 0x409dbc37, REG x24: 0x00000000409db000
PC: 0x0000000080000334, INSTR: 0x003c1c13, REG x24: 0x0000000204ed8000
PC: 0x0000000080000338, INSTR: 0x31bc0c13, REG x24: 0x0000000204ed831b
PC: 0x000000008000033c, INSTR: 0x00dc1c13, REG x24: 0x0000409db0636000
PC: 0x0000000080000340, INSTR: 0xf47c0c13, REG x24: 0x0000409db0635f47
PC: 0x0000000080000344, INSTR: 0x00fc1c13, REG x24: 0x204ed831afa38000
PC: 0x0000000080000348, INSTR: 0xdecc0c13, REG x24: 0x204ed831afa37dec
PC: 0x000000008000034c, INSTR: 0xffefbcb7, REG x25: 0xffffffffffefb000
PC: 0x0000000080000350, INSTR: 0x525c8c9b, REG x25: 0xffffffffffefb525
PC: 0x0000000080000354, INSTR: 0x00cc9c93, REG x25: 0xfffffffefb525000
PC: 0x0000000080000358, INSTR: 0xabfc8c93, REG x25: 0xfffffffefb524abf
PC: 0x000000008000035c, INSTR: 0x00cc9c93, REG x25: 0xffffefb524abf000
