PC: 0x0000000080000240, INSTR: 0x00c79793, REG x15: 0xfffe76bbc0f09000
PC: 0x0000000080000244, INSTR: 0x26f78793, REG x15: 0xfffe76bbc0f0926f
PC: 0x0000000080000248, INSTR: 0x00d79793, REG x15: 0xced7781e124de000
PC: 0x000000008000024c, INSTR: 0x7e378793, REG x15: 0xced7781e124de7e3
PC: 0x0000000080000250, INSTR: 0x0024e837, REG x16: 0x000000000024e000
PC: 0x0000000080000254, INSTR: 0x2678081b, REG x16: 0x000000000024e267
PC: 0x0000000080000258, INSTR: 0x00c81813, REG x16: 0x000000024e267000
PC: 0x000000008000025c, INSTR: 0xcb980813, REG x16: 0x000000024e266cb9
PC: 0x0000000080000260, INSTR: 0x00d81813, REG x16: 0x000049c4cd972000
PC: 0x0000000080000264, INSTR: 0xc0580813, REG x16: 0x000049c4cd971c05
PC: 0x0000000080000268, INSTR: 0x00d81813, REG x16: 0x093899b2e380a000
PC: 0x000000008000026c, INSTR: 0xcc780813, REG x16: 0x093899b2e3809cc7
PC: 0x0000000080000270, INSTR: 0xa02298b7, REG x17: 0xffffffffa0229000
PC: 0x0000000080000274, INSTR: 0x5678889b, REG x17: 0xffffffffa0229567
PC: 0x0000000080000278, INSTR: 0x01089893, REG x17: 0xffffa02295670000
PC: 0x000000008000027c, INSTR: 0x9ab88893, REG x17: 0xffffa0229566f9ab
PC: 0x0000000080000280, INSTR: 0x00d89893, REG x17: 0xf40452acdf356000
PC: 0x0000000080000284, INSTR: 0xb8388893, REG x17: 0xf40452acdf355b83
PC: 0x0000000080000288, INSTR: 0x00230937, REG x18: 0x0000000000230000
PC: 0x000000008000028c, INSTR: 0x8219091b, REG x18: 0x000000000022f821
PC: 0x0000000080000290, INSTR: 0x00c91913, REG x18: 0x000000022f821000
PC: 0x0000000080000294, INSTR: 0x1e190913, REG x18: 0x000000022f8211e1
PC: 0x0000000080000298, INSTR: 0x00d91913, REG x18: 0x000045f0423c2000
PC: 0x000000008000029c, INSTR: 0xdad90913, REG x18: 0x000045f0423c1dad
PC: 0x00000000800002a0, INSTR: 0x00c91913, REG x18: 0x045f0423c1dad000
PC: 0x00000000800002a4, INSTR: 0xff790913, REG x18: 0x045f0423c1dacff7
PC: 0x00000000800002a8, INSTR: 0x4f5d89b7, REG x19: 0x000000004f5d8000
PC: 0x00000000800002ac, INSTR: 0xe4f9899b, REG x19: 0x000000004f5d7e4f
PC: 0x00000000800002b0, INSTR: 0x00f99993, REG x19: 0x000027aebf278000
PC: 0x00000000800002b4, INSTR: 0x70f98993, REG x19: 0x000027aebf27870f
PC: 0x00000000800002b8, INSTR: 0x01099993, REG x19: 0x27aebf27870f0000
PC: 0x00000000800002bc, INSTR: 0x41398993, REG x19: 0x27aebf27870f0413
PC: 0x00000000800002c0, INSTR: 0xffd06a37, REG x20: 0xffffffffffd06000
PC: 0x00000000800002c4, INSTR: 0x451a0a1b, REG x20: 0xffffffffffd06451
PC: 0x00000000800002c8, INSTR: 0x00da1a13, REG x20: 0xfffffffa0c8a2000
