PC: 0x000000008000035c, INSTR: 0x00cc1c13, REG x24: 0x0002f06398dd3000
PC: 0x0000000080000360, INSTR: 0xbdbc0c13, REG x24: 0x0002f06398dd2bdb
PC: 0x0000000080000364, INSTR: 0x00cc1c13, REG x24: 0x2f06398dd2bdb000
PC: 0x0000000080000368, INSTR: 0x036c0c13, REG x24: 0x2f06398dd2bdb036
PC: 0x000000008000036c, INSTR: 0x01544cb7, REG x25: 0x0000000001544000
PC: 0x0000000080000370, INSTR: 0x10dc8c9b, REG x25: 0x000000000154410d
PC: 0x0000000080000374, INSTR: 0x00cc9c93, REG x25: 0x000000154410d000
PC: 0x0000000080000378, INSTR: 0xb6fc8c93, REG x25: 0x000000154410cb6f
PC: 0x000000008000037c, INSTR: 0x00dc9c93, REG x25: 0x0002a882196de000
PC: 0x0000000080000380, INSTR: 0xa03c8c93, REG x25: 0x0002a882196dda03
PC: 0x0000000080000384, INSTR: 0x00cc9c93, REG x25: 0x2a882196dda03000
PC: 0x0000000080000388, INSTR: 0x0e1c8c93, REG x25: 0x2a882196dda030e1
PC: 0x000000008000038c, INSTR: 0x2a6c3d37, REG x26: 0x000000002a6c3000
PC: 0x0000000080000390, INSTR: 0xea9d0d1b, REG x26: 0x000000002a6c2ea9
PC: 0x0000000080000394, INSTR: 0x00cd1d13, REG x26: 0x000002a6c2ea9000
PC: 0x0000000080000398, INSTR: 0x55fd0d13, REG x26: 0x000002a6c2ea955f
PC: 0x000000008000039c, INSTR: 0x00ed1d13, REG x26: 0x00a9b0baa557c000
PC: 0x00000000800003a0, INSTR: 0x15bd0d13, REG x26: 0x00a9b0baa557c15b
PC: 0x00000000800003a4, INSTR: 0x007d1d13, REG x26: 0x54d85d52abe0ad80
PC: 0x00000000800003a8, INSTR: 0x52b8fdb7, REG x27: 0x0000000052b8f000
PC: 0x00000000800003ac, INSTR: 0x002d9d93, REG x27: 0x000000014ae3c000
PC: 0x00000000800003b0, INSTR: 0xbd9d8d93, REG x27: 0x000000014ae3bbd9
PC: 0x00000000800003b4, INSTR: 0x00dd9d93, REG x27: 0x0000295c777b2000
PC: 0x00000000800003b8, INSTR: 0x007d8d93, REG x27: 0x0000295c777b2007
PC: 0x00000000800003bc, INSTR: 0x00cd9d93, REG x27: 0x0295c777b2007000
PC: 0x00000000800003c0, INSTR: 0x2bad8d93, REG x27: 0x0295c777b20072ba
PC: 0x00000000800003c4, INSTR: 0x001c4e37, REG x28: 0x00000000001c4000
PC: 0x00000000800003c8, INSTR: 0x5dde0e1b, REG x28: 0x00000000001c45dd
PC: 0x00000000800003cc, INSTR: 0x010e1e13, REG x28: 0x0000001c45dd0000
PC: 0x00000000800003d0, INSTR: 0x9cfe0e13, REG x28: 0x0000001c45dcf9cf
PC: 0x00000000800003d4, INSTR: 0x00ce1e13, REG x28: 0x0001c45dcf9cf000
PC: 0x00000000800003d8, INSTR: 0xf83e0e13, REG x28: 0x0001c45dcf9cef83
PC: 0x00000000800003dc, INSTR: 0x00ee1e13, REG x28: 0x711773e73be0c000
PC: 0x00000000800003e0, INSTR: 0xfdbe0e13, REG x28: 0x711773e73be0bfdb
PC: 0x00000000800003e4, INSTR: 0x00b52eb7, REG x29: 0x0000000000b52000
PC: 0x00000000800003e8, INSTR: 0x2bbe8e9b, REG x29: 0x0000000000b522bb
PC: 0x00000000800003ec, INSTR: 0x00ce9e93, REG x29: 0x0000000b522bb000
PC: 0x00000000800003f0, INSTR: 0x427e8e93, REG x29: 0x0000000b522bb427
PC: 0x00000000800003f4, INSTR: 0x00ce9e93, REG x29: 0x0000b522bb427000
PC: 0x00000000800003f8, INSTR: 0xdd7e8e93, REG x29: 0x0000b522bb426dd7
PC: 0x00000000800003fc, INSTR: 0x00de9e93, REG x29: 0x16a457684dbae000
PC: 0x0000000080000400, INSTR: 0x605e8e93, REG x29: 0x16a457684dbae605
PC: 0x0000000080000404, INSTR: 0xbadf9f37, REG x30: 0xffffffffbadf9000
PC: 0x0000000080000408, INSTR: 0x002f1f13, REG x30: 0xfffffffeeb7e4000
